page,text,left,top,width,height,line,conf
1,"04 Lambeth 2030 Our Future, Our Lambeth",0.024189,0.033067,0.136666,0.008267,1,96.0
1,Forewords,0.049385,0.1813,0.237855,0.055017,2,99.0
1,Lambeth has long been,0.046563,0.300741,0.170732,0.022805,3,99.0
1,the home of inspirational,0.045757,0.323546,0.180407,0.023945,4,98.0
1,creativity and audacious,0.046362,0.346921,0.177384,0.023945,5,99.0
1,innovation.,0.046765,0.373147,0.080024,0.018529,6,99.0
1,"From William Blake to Olive Morris, artists and",0.046966,0.40878,0.166096,0.010832,7,98.0
1,activists have pushed the boundaries of what is,0.047571,0.423603,0.170732,0.010262,8,99.0
1,possible and changed our borough for the better.,0.047168,0.437571,0.177182,0.011403,9,98.0
1,"We are a place of energy and ambition, a destination",0.046966,0.452109,0.190083,0.010547,10,99.0
1,for those who wish to make a difference. And we,0.046765,0.465792,0.17698,0.010832,11,98.0
1,"have long been a place of sanctuary, welcoming",0.047571,0.480901,0.172747,0.010547,12,99.0
1,communities from around the globe who have come,0.046966,0.494299,0.188873,0.011688,13,98.0
1,to make Lambeth their home.,0.046966,0.509122,0.107035,0.010547,14,98.0
1,We also recognise that we are not an equal borough.,0.047168,0.537628,0.190284,0.010547,15,98.0
1,We have faced exceptionally challenging times - the,0.046765,0.550741,0.187261,0.012258,16,99.0
1,"devastating cuts to public services, austerity Britain,",0.047168,0.565564,0.186051,0.011403,17,99.0
1,"Brexit, the pandemic and the ongoing cost of living",0.046966,0.579532,0.183632,0.012543,18,99.0
1,crisis. The impacts are not felt equally and have,0.047571,0.594926,0.17053,0.010547,19,98.0
1,"exacerbated the chronic stresses of poverty, racism",0.047168,0.608609,0.185648,0.010832,20,99.0
1,and inequality that affect so many in our community.,0.047168,0.622862,0.187059,0.011688,21,99.0
1,We saw during the coronavirus pandemic the,0.047168,0.651653,0.163475,0.010547,22,99.0
1,remarkable collective response of our borough - when,0.046966,0.665336,0.195122,0.011403,23,99.0
1,"the Council, businesses, voluntary and community",0.046966,0.67959,0.181415,0.011403,24,98.0
1,organisations and residents came together as one,0.046966,0.693843,0.181415,0.012258,25,98.0
1,and carried us through the toughest of times. Our,0.047571,0.708666,0.178795,0.010832,26,99.0
1,partnership working and genuine collaboration is our,0.046966,0.722064,0.190083,0.012543,27,98.0
1,core strength. And what is unique about Lambeth,0.046765,0.736032,0.179802,0.012828,28,98.0
1,is our diversity which forms the bedrock of that,0.046966,0.751425,0.169321,0.010547,29,99.0
1,collective power.,0.047168,0.765678,0.059665,0.010832,30,97.0
1,We are the home of Windrush. We are home to,0.046966,0.79333,0.170329,0.010547,31,99.0
1,London's largest LGBTQ+ community. We are home,0.046966,0.807868,0.188873,0.011403,32,98.0
1,to the largest Portuguese-speaking community in,0.046765,0.822406,0.177787,0.011403,33,99.0
1,London and increasingly are welcoming more of the,0.046765,0.835804,0.187059,0.012543,34,96.0
1,Latin American community who are making Lambeth,0.046765,0.850627,0.190687,0.011973,35,99.0
1,"their home. It is these foundations, being a place",0.046563,0.86431,0.175771,0.012543,36,99.0
1,"of sanctuary and possessing a deeply welcoming,",0.047168,0.879704,0.179399,0.011403,37,98.0
1,"collective, community spirit, an aspiring borough",0.047571,0.894242,0.173151,0.010547,38,99.0
1,"thirsty to achieve, which continues to see us through",0.046966,0.90764,0.189276,0.011688,39,99.0
1,the challenges that are placed before us.,0.046966,0.922178,0.146543,0.011117,40,98.0
1,"It is this open heart and pioneering spirit, along",0.256198,0.302166,0.168918,0.012258,41,98.0
1,"with our geographical connectivity, our vibrant and",0.256803,0.31699,0.180407,0.010832,42,99.0
1,imaginative business community and passionate,0.257005,0.331813,0.173957,0.010547,43,99.0
