page,text,left,top,width,height,line,conf
1,SisterCities Partnership Agreement,0.167843,0.025758,0.793725,0.03697,1,99.0
1,IN,0.17098,0.066667,0.040392,0.009091,2,92.0
1,Connect,0.167843,0.085152,0.068627,0.015455,3,98.0
1,Types of,0.115686,0.153939,0.114118,0.024242,4,98.0
1,Sister City,0.116471,0.185758,0.095686,0.015455,5,97.0
1,A Sister City,0.116078,0.209394,0.101569,0.015152,6,98.0
1,"do not take place,",0.116863,0.22697,0.147451,0.013333,7,99.0
1,another country,0.116863,0.242424,0.132549,0.013939,8,98.0
1,"""sister city/sister",0.116863,0.258485,0.156078,0.013636,9,99.0
1,unless otherwise,0.116863,0.274848,0.141961,0.013939,10,99.0
1,Sister Cities,0.116863,0.298485,0.099608,0.014545,11,99.0
1,good standing,0.116471,0.314545,0.116078,0.014545,12,99.0
1,"website. However,",0.115686,0.330606,0.149412,0.014848,13,99.0
1,legitimacy of,0.116863,0.347576,0.106667,0.013636,14,98.0
1,Friendship City,0.116078,0.370303,0.129412,0.016061,15,98.0
1,A Friendship City,0.115686,0.393939,0.139608,0.015758,16,97.0
1,"stone"" to a more",0.116078,0.410909,0.138039,0.014545,17,99.0
1,referred to,0.116863,0.427273,0.108235,0.013333,18,99.0
1,recognize,0.116863,0.443333,0.086275,0.014242,19,98.0
1,As per Sister,0.117255,0.467576,0.106667,0.013333,20,99.0
1,Sister,0.167451,0.490606,0.052941,0.014242,21,97.0
1,U.S. and,0.167843,0.50697,0.070588,0.014242,22,98.0
1,between,0.167451,0.523333,0.071765,0.013939,23,98.0
1,cooperative,0.167451,0.539091,0.102745,0.015455,24,99.0
1,International.,0.168235,0.555758,0.120392,0.013939,25,98.0
1,is received,0.167451,0.571515,0.094118,0.013636,26,99.0
1,recognize,0.168235,0.587879,0.085098,0.014545,27,99.0
1,with a,0.168627,0.604848,0.05098,0.013333,28,99.0
1,The,0.168235,0.627879,0.034902,0.014545,29,99.0
1,Mayor/County,0.169804,0.660909,0.116863,0.013939,30,97.0
1,communities.,0.167843,0.67697,0.107843,0.013939,31,99.0
1,"from, or",0.168627,0.693333,0.072941,0.013333,32,98.0
1,of the,0.168627,0.709697,0.053333,0.012424,33,99.0
1,Although,0.168235,0.725152,0.073333,0.013939,34,99.0
1,"process,",0.168235,0.741818,0.084706,0.013939,35,98.0
1,Cities,0.167843,0.75697,0.048235,0.015152,36,98.0
1,the,0.168627,0.774545,0.029804,0.013333,37,99.0
1,To place a,0.116078,0.796667,0.087059,0.015152,38,98.0
1,community must,0.116863,0.813939,0.134902,0.014242,39,98.0
1,remain sister,0.116863,0.83,0.113333,0.013333,40,98.0
1,both cities are,0.116471,0.845758,0.12,0.013636,41,98.0
