page,text,left,top,width,height,line
1,5-Point Networking Email,0.404314,0.050606,0.189804,0.012121,1
1,"Steve Dalton, the author of The 2-Hour Job Search believes the perfect networking email is a ""5-Point E-mail"". The five",0.058824,0.086061,0.859608,0.012727,2
1,points are as follows:,0.059216,0.10303,0.152941,0.012727,3
1,1. 100 words or less,0.088627,0.136667,0.156078,0.010303,4
1,2. No mention of jobs (in subject or body),0.088235,0.153333,0.31451,0.012727,5
1,"3. Connection goes first (e.g., ND connection)",0.087843,0.170606,0.341569,0.01303,6
1,4. Generalize your interest,0.087843,0.187879,0.205098,0.012424,7
1,5. Maintain control of the follow up,0.088627,0.204545,0.27098,0.012727,8
1,Here's an example of what a 5-Point email would look like:,0.059608,0.255455,0.42549,0.012727,9
1,Subject: Notre Dame MBA Student Seeking Your Advice,0.117255,0.289394,0.414118,0.012424,10
1,"Dear Mr. Jones,",0.118039,0.323939,0.112549,0.011515,11
1,"My name is Brooke Franklin, and I'm a first-year Notre Dame MBA student who found your",0.118431,0.35697,0.661569,0.01303,12
1,information in the ND alumni database. May I have 15 minutes of your time to ask you about,0.118039,0.374242,0.677255,0.012727,13
1,your experience with IBM? I'm trying to learn more about marketing careers at technology,0.117255,0.391212,0.660784,0.01303,14
1,companies and your insights would be very helpful.,0.117647,0.407879,0.373333,0.01303,15
1,"I realize this may be a busy time for you, so if we're unable to connect this week, I'll try again",0.118039,0.442121,0.674902,0.012727,16
1,next week to see whether that is more convenient.,0.118039,0.459091,0.370588,0.010303,17
1,"Thank you for your time,",0.117255,0.492727,0.179216,0.012727,18
1,Brooke,0.118431,0.51,0.050588,0.01,19
1,The most important part of this email may be the follow-up; an email like this allows you to reach out again in a week if,0.058431,0.543333,0.872157,0.01303,20
1,you haven't heard back without feeling like you're bothering the person at the other end. If you don't hear anything,0.058431,0.560606,0.843922,0.01303,21
1,"after the second attempt, you can probably cross him/her off your list and move on to the next contact.",0.058824,0.577273,0.755686,0.01303,22
2,36 Westmoreland Drive,0.705764,0.026796,0.209996,0.011403,1
2,Newcastle upon Tyne,0.723499,0.04333,0.192664,0.013968,2
2,NE1 8LT,0.836759,0.059863,0.079807,0.011117,3
2,Mr Mark Wilson,0.083837,0.076112,0.138251,0.011403,4
2,UK Health Trust,0.083837,0.09236,0.143087,0.011403,5
2,18 Whitehall Square,0.084643,0.108609,0.179766,0.013968,6
2,London,0.083837,0.125428,0.066102,0.011117,7
2,SW1 9LT,0.083837,0.141391,0.083031,0.011403,8
2,11th January 2015,0.755744,0.154789,0.161225,0.017389,9
2,Dear Mr Wilson,0.083837,0.174173,0.137042,0.011403,10
2,Re: Community Health Development Officer [HD/12/2014],0.083837,0.201539,0.544135,0.014253,11
2,"I am writing to apply for the above post, as advertised on the Health UK recruitment site. I am",0.08424,0.228905,0.828295,0.014253,12
2,a sociology graduate with a 2: 1from Newcastle University. I have relevant health awareness,0.083434,0.245439,0.822249,0.014253,13
2,"experience, and I am looking for a position where I can employ my knowledge and skills in",0.083434,0.261973,0.802499,0.013968,14
2,support of health and community development. I enclose my CV for your attention.,0.083434,0.277936,0.731963,0.014253,15
2,I am eager to work for UK Health Trust because of your ground-breaking work within the field,0.08424,0.305302,0.825877,0.014253,16
2,of community health. I became aware of the work of the Trust when carrying out my,0.083434,0.322121,0.744055,0.013968,17
2,"dissertation, 'Generational Change in Local Health Awareness, where I researched health",0.083031,0.338084,0.798468,0.014253,18
