,coordinates,filename,languages,last_modified,page_number,parent_id,category,id,title_name,text
0,"{'points': ((643.4645, 98.23889999999994), (643.4645, 154.23889999999994), (1034.5125, 154.23889999999994), (1034.5125, 98.23889999999994)), 'system': 'PixelSpace', 'layout_width': 1190.55, 'layout_height': 841.89}",Lambeth_2030-Our_Future_Our_Lambeth.pdf,['eng'],2024-04-19T21:04:53,2,6da364a5e9c746cca157b91a7108cf8b,Title,55a930e9cc12e77ae25572779a20e2aa,,Lambeth 2030
1,"{'points': ((651.9684, 250.84349999999995), (651.9684, 270.84349999999995), (730.3884, 270.84349999999995), (730.3884, 250.84349999999995)), 'system': 'PixelSpace', 'layout_width': 1190.55, 'layout_height': 841.89}",Lambeth_2030-Our_Future_Our_Lambeth.pdf,['eng'],2024-04-19T21:04:53,2,6da364a5e9c746cca157b91a7108cf8b,Title,b5d8fff05f4737267c3039cf7e636bfe,,Contents
2,"{'points': ((651.9684, 305.8767), (651.9684, 315.9167), (705.6777999999999, 315.9167), (705.6777999999999, 305.8767)), 'system': 'PixelSpace', 'layout_width': 1190.55, 'layout_height': 841.89}",Lambeth_2030-Our_Future_Our_Lambeth.pdf,['eng'],2024-04-19T21:04:53,2,6da364a5e9c746cca157b91a7108cf8b,Title,37cf32b0d24b740a3de9ba62b02ceda7,,Forewords
3,"{'points': ((651.9684, 338.87669999999997), (651.9684, 348.9167), (712.8874, 348.9167), (712.8874, 338.87669999999997)), 'system': 'PixelSpace', 'layout_width': 1190.55, 'layout_height': 841.89}",Lambeth_2030-Our_Future_Our_Lambeth.pdf,['eng'],2024-04-19T21:04:53,2,6da364a5e9c746cca157b91a7108cf8b,Title,3c520bdfd69fbad61fc7840d3d51daf4,,Introduction
4,"{'points': ((651.9684, 371.87669999999997), (651.9684, 381.9167), (753.6668, 381.9167), (753.6668, 371.87669999999997)), 'system': 'PixelSpace', 'layout_width': 1190.55, 'layout_height': 841.89}",Lambeth_2030-Our_Future_Our_Lambeth.pdf,['eng'],2024-04-19T21:04:53,2,6da364a5e9c746cca157b91a7108cf8b,Title,08cc8e49bfad3409a2c2729c6e676593,,State of the Borough
5,"{'points': ((651.9684, 404.87669999999997), (651.9684, 414.9167), (786.6367, 414.9167), (786.6367, 404.87669999999997)), 'system': 'PixelSpace', 'layout_width': 1190.55, 'layout_height': 841.89}",Lambeth_2030-Our_Future_Our_Lambeth.pdf,['eng'],2024-04-19T21:04:53,2,6da364a5e9c746cca157b91a7108cf8b,Title,81bacd6f5d62d0991959eb636396f817,,Our Previous Borough Plan
6,"{'points': ((651.9684, 437.87669999999997), (651.9684, 447.9167), (826.4361, 447.9167), (826.4361, 437.87669999999997)), 'system': 'PixelSpace', 'layout_width': 1190.55, 'layout_height': 841.89}",Lambeth_2030-Our_Future_Our_Lambeth.pdf,['eng'],2024-04-19T21:04:53,2,6da364a5e9c746cca157b91a7108cf8b,Title,c558e1950261e4ddccdbd2c777c662a9,,Our Shared Vision for Lambeth 2030
7,"{'points': ((651.9684, 470.87669999999997), (651.9684, 480.9167), (809.1764999999999, 480.9167), (809.1764999999999, 470.87669999999997)), 'system': 'PixelSpace', 'layout_width': 1190.55, 'layout_height': 841.89}",Lambeth_2030-Our_Future_Our_Lambeth.pdf,['eng'],2024-04-19T21:04:53,2,6da364a5e9c746cca157b91a7108cf8b,Title,425b3f7079730a082e1cefeeb91eb45f,,Our Ambitions for Lambeth 2030
8,"{'points': ((651.9684, 503.87669999999997), (651.9684, 513.9167), (954.0142999999999, 513.9167), (954.0142999999999, 503.87669999999997)), 'system': 'PixelSpace', 'layout_width': 1190.55, 'layout_height': 841.89}",Lambeth_2030-Our_Future_Our_Lambeth.pdf,['eng'],2024-04-19T21:04:53,2,6da364a5e9c746cca157b91a7108cf8b,Title,b68eb349dfb6e5c42d7576def21828b8,,The Lambeth Golden Thread – A Borough of Equity and Justice
9,"{'points': ((651.9684, 536.8767), (651.9684, 546.9167), (961.0138999999999, 546.9167), (961.0138999999999, 536.8767)), 'system': 'PixelSpace', 'layout_width': 1190.55, 'layout_height': 841.89}",Lambeth_2030-Our_Future_Our_Lambeth.pdf,['eng'],2024-04-19T21:04:53,2,6da364a5e9c746cca157b91a7108cf8b,Title,43b67348c58f51ce182479d5f4ab6081,,Ambition 1 – Making Lambeth Neighbourhoods Fit for the Future
