page,line,word_text,word_x0,word_y0,word_x1,word_y1,line_text,line_x0,line_y0,line_x1,line_y1
1,2,SisterCities,0.169804,0.033333,0.408627,0.061515,,,,,
1,3,Partnership,0.516078,0.027879,0.733333,0.060303,,,,,
1,3,Agreement,0.747843,0.028182,0.957255,0.060303,,,,,
1,4,INTERNATIONAL,0.170196,0.06697,0.408235,0.075758,,,,,
1,5,Connect,0.169804,0.087273,0.236078,0.097576,,,,,
1,5,globally.,0.240784,0.087273,0.301569,0.100303,,,,,
1,5,Thrive,0.307059,0.08697,0.35451,0.097576,,,,,
1,5,locally.,0.358824,0.087273,0.40902,0.100303,,,,,
1,6,Toolkit,0.830588,0.07303,0.957647,0.098485,,,,,
1,7,Types,0.117255,0.158182,0.190588,0.177879,,,,,
1,7,of,0.199216,0.157879,0.223922,0.173939,,,,,
1,7,Affiliations,0.23098,0.157576,0.359216,0.173939,,,,,
1,8,Sister,0.117647,0.187273,0.166667,0.198788,,,,,
1,8,City,0.171765,0.187273,0.205098,0.201515,,,,,
1,8,Relationship,0.21098,0.187273,0.314902,0.201515,,,,,
1,9,A,0.117255,0.211515,0.129804,0.222121,,,,,
1,9,Sister,0.13451,0.211212,0.180392,0.222121,,,,,
1,9,City,0.185882,0.211212,0.216863,0.225152,,,,,
1,9,relationship,0.222745,0.211515,0.313725,0.224848,,,,,
1,9,is,0.320392,0.211515,0.332157,0.222121,,,,,
1,9,formed,0.337647,0.211212,0.393333,0.222121,,,,,
1,9,when,0.399216,0.211515,0.442745,0.222121,,,,,
1,9,the,0.447843,0.211515,0.473725,0.222121,,,,,
1,9,mayor,0.479608,0.213939,0.529804,0.224545,,,,,
1,9,or,0.534118,0.213939,0.550588,0.222121,,,,,
1,9,highest,0.555686,0.211515,0.613725,0.224848,,,,,
1,9,elected,0.619216,0.211515,0.676078,0.222121,,,,,
1,9,official,0.682745,0.211212,0.733725,0.222121,,,,,
1,9,"(or,",0.74,0.211212,0.764706,0.224848,,,,,
1,9,if,0.771373,0.211212,0.780784,0.222121,,,,,
1,9,elections,0.78549,0.211515,0.856471,0.222424,,,,,
1,10,do,0.117647,0.227879,0.137647,0.238485,,,,,
1,10,not,0.143922,0.228182,0.16902,0.238485,,,,,
1,10,take,0.174118,0.227879,0.208627,0.238485,,,,,
1,10,"place,",0.214118,0.227879,0.261176,0.241212,,,,,
1,10,highest,0.267843,0.227879,0.32549,0.241212,,,,,
1,10,appointed,0.331373,0.227879,0.410588,0.241212,,,,,
1,10,official),0.417255,0.227273,0.47451,0.241212,,,,,
1,10,from,0.478824,0.227576,0.514902,0.238485,,,,,
1,10,a,0.521176,0.230303,0.530588,0.238485,,,,,
1,10,U.S.,0.536471,0.227576,0.56902,0.238485,,,,,
1,10,community,0.575294,0.227879,0.664314,0.241212,,,,,
1,10,and,0.66902,0.227273,0.698824,0.238788,,,,,
1,10,a,0.704706,0.230303,0.714118,0.238485,,,,,
