page,line,word_text,word_x0,word_y0,word_x1,word_y1,line_text,line_x0,line_y0,line_x1,line_y1
1,1,Example,0.147059,0.093434,0.215686,0.107323,,,,,
1,1,of,0.220588,0.093434,0.240196,0.104798,,,,,
1,1,emails,0.24183,0.093434,0.292484,0.104798,,,,,
1,1,sent,0.297386,0.094697,0.330065,0.104798,,,,,
1,1,to,0.334967,0.094697,0.349673,0.104798,,,,,
1,1,a,0.354575,0.097222,0.362745,0.104798,,,,,
1,1,professor,0.367647,0.093434,0.441176,0.108586,,,,,
1,1,before,0.446078,0.093434,0.496732,0.104798,,,,,
1,1,applying:,0.501634,0.093434,0.573529,0.107323,,,,,
1,2,Fwd:,0.145425,0.128788,0.184641,0.140152,,,,,
1,2,Prospective,0.191176,0.128788,0.28268,0.142677,,,,,
1,2,Graduate,0.287582,0.128788,0.359477,0.140152,,,,,
1,2,Student,0.364379,0.128788,0.424837,0.140152,,,,,
1,3,Dr.,0.147059,0.162879,0.171569,0.174242,,,,,
1,3,"Kornbluth,",0.176471,0.162879,0.261438,0.176768,,,,,
1,4,I,0.147059,0.198232,0.153595,0.209596,,,,,
1,4,am,0.158497,0.200758,0.181373,0.209596,,,,,
1,4,a,0.186275,0.20202,0.194444,0.209596,,,,,
1,4,senior,0.199346,0.198232,0.248366,0.209596,,,,,
1,4,biology,0.253268,0.198232,0.312092,0.212121,,,,,
1,4,major,0.316993,0.198232,0.364379,0.212121,,,,,
1,4,at,0.367647,0.199495,0.382353,0.209596,,,,,
1,4,the,0.387255,0.198232,0.411765,0.209596,,,,,
1,4,University,0.416667,0.198232,0.5,0.212121,,,,,
1,4,of,0.504902,0.198232,0.522876,0.209596,,,,,
1,4,Notre,0.52451,0.198232,0.570261,0.209596,,,,,
1,4,Dame.,0.575163,0.198232,0.625817,0.209596,,,,,
1,4,I,0.632353,0.198232,0.637255,0.209596,,,,,
1,4,am,0.643791,0.200758,0.666667,0.209596,,,,,
1,4,applying,0.671569,0.198232,0.740196,0.212121,,,,,
1,4,to,0.745098,0.199495,0.759804,0.209596,,,,,
1,4,the,0.764706,0.198232,0.789216,0.209596,,,,,
1,4,CMB,0.794118,0.198232,0.836601,0.209596,,,,,
1,5,program,0.145425,0.218434,0.212418,0.229798,,,,,
1,5,and,0.21732,0.215909,0.245098,0.227273,,,,,
1,5,am,0.25,0.218434,0.27451,0.227273,,,,,
1,5,very,0.279412,0.218434,0.313725,0.229798,,,,,
1,5,interested,0.320261,0.214646,0.395425,0.22601,,,,,
1,5,in,0.400327,0.214646,0.416667,0.22601,,,,,
1,5,your,0.419935,0.218434,0.457516,0.229798,,,,,
1,5,work.,0.460784,0.214646,0.506536,0.227273,,,,,
1,5,After,0.511438,0.214646,0.553922,0.227273,,,,,
1,5,glancing,0.55719,0.215909,0.625817,0.229798,,,,,
1,5,at,0.630719,0.217172,0.645425,0.227273,,,,,
1,5,a,0.650327,0.218434,0.658497,0.227273,,,,,
1,5,few,0.663399,0.214646,0.69281,0.22601,,,,,
1,5,of,0.697712,0.214646,0.715686,0.227273,,,,,
1,5,your,0.718954,0.218434,0.754902,0.229798,,,,,
1,5,recent,0.759804,0.217172,0.80719,0.22601,,,,,
1,6,papers,0.145425,0.236111,0.197712,0.247475,,,,,
1,6,and,0.202614,0.232323,0.230392,0.243687,,,,,
1,6,your,0.235294,0.236111,0.271242,0.247475,,,,,
1,6,research,0.276144,0.232323,0.341503,0.243687,,,,,
1,6,summary,0.346405,0.236111,0.419935,0.247475,,,,,
1,6,I,0.424837,0.232323,0.431373,0.243687,,,,,
1,6,find,0.436275,0.232323,0.46732,0.243687,,,,,
1,6,your,0.472222,0.236111,0.50817,0.247475,,,,,
1,6,work,0.513072,0.232323,0.553922,0.243687,,,,,
1,6,with,0.558824,0.232323,0.593137,0.243687,,,,,
1,6,apoptosis,0.598039,0.233586,0.671569,0.247475,,,,,
1,6,very,0.678105,0.236111,0.712418,0.247475,,,,,
1,6,interesting.,0.71732,0.232323,0.803922,0.247475,,,,,
1,6,Will,0.810458,0.232323,0.844771,0.243687,,,,,
1,7,you,0.145425,0.253788,0.174837,0.263889,,,,,
1,7,be,0.179739,0.25,0.199346,0.261364,,,,,
1,7,taking,0.204248,0.25,0.253268,0.265152,,,,,
1,7,on,0.25817,0.253788,0.277778,0.261364,,,,,
1,7,new,0.28268,0.253788,0.315359,0.261364,,,,,
1,7,students,0.320261,0.25,0.383987,0.261364,,,,,
1,7,next,0.388889,0.251263,0.423203,0.261364,,,,,
1,7,year?,0.428105,0.25,0.470588,0.263889,,,,,
1,7,If,0.480392,0.25,0.495098,0.261364,,,,,
1,7,I,0.498366,0.25,0.504902,0.261364,,,,,
1,7,am,0.509804,0.253788,0.534314,0.261364,,,,,
1,7,invited,0.539216,0.25,0.593137,0.261364,,,,,
1,7,to,0.598039,0.251263,0.612745,0.261364,,,,,
1,7,"interview,",0.617647,0.25,0.696078,0.263889,,,,,
1,7,is,0.702614,0.25,0.714052,0.261364,,,,,
1,7,there,0.718954,0.25,0.759804,0.261364,,,,,
1,7,any,0.763072,0.253788,0.792484,0.263889,,,,,
1,7,way,0.797386,0.253788,0.830065,0.263889,,,,,
1,8,you,0.145425,0.271465,0.176471,0.281566,,,,,
1,8,will,0.179739,0.267677,0.210784,0.27904,,,,,
1,8,be,0.215686,0.267677,0.235294,0.27904,,,,,
1,8,able,0.238562,0.267677,0.272876,0.27904,,,,,
1,8,to,0.276144,0.268939,0.292484,0.27904,,,,,
1,8,meet,0.297386,0.268939,0.334967,0.27904,,,,,
1,8,with,0.339869,0.267677,0.375817,0.27904,,,,,
1,8,me?,0.380719,0.267677,0.411765,0.27904,,,,,
1,9,I,0.147059,0.30303,0.151961,0.314394,,,,,
1,9,have,0.156863,0.30303,0.194444,0.314394,,,,,
1,9,worked,0.199346,0.30303,0.25817,0.314394,,,,,
1,9,on,0.263072,0.306818,0.28268,0.314394,,,,,
1,9,several,0.287582,0.30303,0.343137,0.314394,,,,,
1,9,different,0.348039,0.30303,0.416667,0.314394,,,,,
1,9,research,0.419935,0.30303,0.485294,0.314394,,,,,
1,9,projects,0.490196,0.30303,0.552288,0.318182,,,,,
1,9,as,0.558824,0.306818,0.573529,0.314394,,,,,
1,9,an,0.580065,0.306818,0.598039,0.314394,,,,,
1,9,undergraduate,0.602941,0.30303,0.714052,0.318182,,,,,
1,9,in,0.718954,0.30303,0.735294,0.314394,,,,,
1,9,Dr.,0.740196,0.30303,0.764706,0.314394,,,,,
1,9,David,0.769608,0.30303,0.816993,0.314394,,,,,
1,9,R.,0.823529,0.30303,0.839869,0.314394,,,,,
1,10,Hyde's,0.147059,0.320707,0.199346,0.334596,,,,,
1,10,lab,0.204248,0.320707,0.228758,0.332071,,,,,
